Species	Size	Guild	Life form	Attachment	Nitrogen fixing	Pollution tolerance	Trophic preference	Oxygen requirement
Melosira italica var. tenuissima	Large	Motile	Unicellular life form	Weak attachment	N	2	5	3
Melosira spp.	Large	Motile	Unicellular life form	Weak attachment	N	2.109	5	3
Melosira varians	Large	Motile	Unicellular life form	Weak attachment	N	2	5	3
Meridion circulare	Meso	Low profile	Unicellular life form	Strong attachment	N	1	7	2
Meridion circulare var. constrictum	Macro	Low profile	Unicellular life form	Medium attachment	N	1	7	2
Minutocellus polymorphus	Macro	Low profile	Unicellular life form	Weak attachment	N	1	3	1
Navicula absoluta	Meso	Motile	Unicellular life form	Weak attachment	N	2	5.4	2.467
Navicula aitchelbee	Meso	Motile	Unicellular life form	Unattached	N	2.586	5.36	2.594
Navicula amphiceropsis	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.434	2.504
Navicula antonii	Meso	Motile	Unicellular life form	Weak attachment	N	2	5	2.667
Navicula aquaedurae	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.473	2.531
Navicula associata	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.444	2.453
Navicula bacilloides	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.344	2.622
Navicula bacillum	Meso	Motile	Unicellular life form	Weak attachment	N	2	5.283	2.536
Navicula bicapitellata	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.455	2.695
Navicula bourrellyivera	Meso	Motile	Unicellular life form	Weak attachment	N	2.062	5.372	2.537
Navicula bryophila	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.407	2.544
Navicula canalis	Meso	Motile	Unicellular life form	Weak attachment	N	2.514	5.224	2.85
Navicula capitata	Meso	Motile	Unicellular life form	Weak attachment	N	2	5.342	2.53
Navicula capitatoradiata	Meso	Motile	Unicellular life form	Weak attachment	N	3	5	3
Navicula cari	Large	Motile	Unicellular life form	Unattached	N	2	7	2.577
Navicula cari var. angusta	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.552	2.579
Navicula caroliniae	Large	Motile	Unicellular life form	Unattached	N	2.324	5.61	2.667
Navicula catalanogermanica	Meso	Motile	Unicellular life form	Weak attachment	N	1.2	5.398	2.494
Navicula cataracta-rheni	Meso	Motile	Unicellular life form	Weak attachment	N	1.5	5.347	2.765
Navicula caterva	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.868	2.595
Navicula chiarae	Meso	Motile	Unicellular life form	Weak attachment	N	2.308	5.694	2.597
Navicula cincta	Meso	Motile	Unicellular life form	Unattached	N	3	5	3
Navicula cocconeiformis	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.391	2.614
Navicula concentrica	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.334	2.352
Navicula cryptocephala	Meso	Motile	Unicellular life form	Unattached	N	2.5	7	3
Navicula cryptocephala var. venta	Meso	Motile	Unicellular life form	Weak attachment	N	2.047	5.572	2.598
Navicula cryptotenella	Meso	Motile	Unicellular life form	Weak attachment	N	2	7	2.663
Navicula cryptotenelloides	Meso	Motile	Unicellular life form	Weak attachment	N	2.5	7	2.674
Navicula cuspidata	Meso	Motile	Unicellular life form	Weak attachment	N	3.4	5.482	2.633
Navicula cuspidata var. ambigus	Meso	Motile	Unicellular life form	Weak attachment	N	2.115	5.509	2.667
Navicula cuspidata var. heribaudii	Meso	Motile	Unicellular life form	Weak attachment	N	3.4	5.419	2.522
Navicula dicephala	Meso	Motile	Unicellular life form	Weak attachment	N	2	5.167	2.851
Navicula digitoconvergens	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.493	2.437
Navicula diserta	Meso	Motile	Unicellular life form	Weak attachment	N	4	5.267	2.112
Navicula erifuga	Meso	Motile	Unicellular life form	Weak attachment	N	4	5.63	2.69
Navicula escambia	Meso	Motile	Unicellular life form	Weak attachment	N	3.2	5.36	2.61
Navicula exigua	Meso	Motile	Unicellular life form	Weak attachment	N	2	5.926	2.574
Navicula exilis	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.251	2.872
Navicula falaisiensia	Meso	Motile	Unicellular life form	Weak attachment	N	2.187	5.252	2.873
Navicula germainii	Meso	Motile	Unicellular life form	Unattached	N	3	5.536	2.493
Navicula gothlandica	Meso	Motile	Unicellular life form	Weak attachment	N	2.051	5.573	2.597
Navicula gracilis	Meso	Motile	Unicellular life form	Weak attachment	N	1.6	5.509	2.568
Navicula graciloides	Meso	Motile	Unicellular life form	Weak attachment	N	2	5.803	2.6
Navicula gregaria	Meso	Motile	Unicellular life form	Unattached	N	2.6	5	4
Navicula grimmei	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.459	2.619
Navicula halophilioides	Meso	Motile	Unicellular life form	Weak attachment	N	4	5.152	2.823
Navicula hasta	Large	Motile	Unicellular life form	Unattached	N	2	5.677	2.644
Navicula heimansioides	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.307	2.771
Navicula krammerae	Meso	Motile	Unicellular life form	Weak attachment	N	2.303	5.535	2.599
Navicula krasskei	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.439	2.641
Navicula lanceolata	Meso	Motile	Unicellular life form	Weak attachment	N	2.2	5	3
Navicula leistikowii	Meso	Motile	Unicellular life form	Weak attachment	N	2	5.45	2.599
Navicula longicephala	Nano	Motile	Unicellular life form	Unattached	N	4	5.348	2.542
Navicula lundii	Meso	Motile	Unicellular life form	Unattached	N	1.2	5.56	2.831
Navicula menisculus	Meso	Motile	Unicellular life form	Weak attachment	N	2.431	5.456	2.355
Navicula minima	Meso	Motile	Unicellular life form	Weak attachment	N	3.8	5.342	2.549
Navicula moskalii	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.865	2.581
Navicula muralis	Meso	Motile	Unicellular life form	Weak attachment	N	4	5.458	2.613
Navicula nitrophila	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.407	2.544
Navicula nolens	Meso	Motile	Unicellular life form	Weak attachment	N	1.93	5.393	2.588
Navicula notha	Micro	Motile	Unicellular life form	Unattached	N	1	5.438	2.42
Navicula novaesiberica	Micro	Motile	Unicellular life form	Weak attachment	N	3.2	5.378	2.596
Navicula oblonga	Large	Motile	Unicellular life form	Unattached	N	1.5	5	2
Navicula oligotraphenta	Micro	Motile	Unicellular life form	Weak attachment	N	2	5.36	2.663
Navicula parabilis	Micro	Motile	Unicellular life form	Weak attachment	N	2.452	5.318	2.395
Navicula perminuta	Micro	Motile	Unicellular life form	Weak attachment	N	4	5.348	2.542
Navicula perrostrata	Meso	Motile	Unicellular life form	Weak attachment	N	2.476	5.412	2.622
Navicula phyllepta	Meso	Motile	Unicellular life form	Weak attachment	N	3.4	5.181	2.395
Navicula phylleptosoma	Meso	Motile	Unicellular life form	Weak attachment	N	2.114	5.582	2.575
Navicula placenta	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.579	2.596
Navicula placentula	Meso	Motile	Unicellular life form	Weak attachment	N	2	5.594	2.57
Navicula praeterita	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.443	2.66
Navicula protracta	Meso	Motile	Unicellular life form	Weak attachment	N	4	5.472	2.591
Navicula pseudoarvensis	Meso	Motile	Unicellular life form	Weak attachment	N	2.465	5.398	2.374
Navicula pseudolanceolata	Large	Motile	Unicellular life form	Unattached	N	1	5.377	2.588
Navicula pseudotenelloides	Meso	Motile	Unicellular life form	Unattached	N	2.455	5.365	2.508
Navicula pupula	Meso	Motile	Unicellular life form	Weak attachment	N	3.4	5.914	2.583
Navicula pupula var. rectungularis	Meso	Motile	Unicellular life form	Weak attachment	N	2.333	5.609	2.579
Navicula pygmaea	Meso	Motile	Unicellular life form	Weak attachment	N	4	5.285	2.485
Navicula radiosa	Macro	Motile	Unicellular life form	Unattached	N	1	4	2
Navicula radiosafallax	Macro	Motile	Unicellular life form	Weak attachment	N	1	5.442	2.586
Navicula recens	Macro	Motile	Unicellular life form	Weak attachment	N	3.2	5.459	2.648
Navicula reichardtiana	Macro	Motile	Unicellular life form	Weak attachment	N	2.471	5.356	2.611
Navicula reinhardtii	Macro	Motile	Unicellular life form	Unattached	N	1	5	2
Navicula rhynchocephala	Large	Motile	Unicellular life form	Unattached	N	2	5.49	2.666
Navicula riediana	Meso	Motile	Unicellular life form	Weak attachment	N	2.382	5.311	2.631
Navicula rostellata	Large	Motile	Unicellular life form	Unattached	N	3	5	2
Navicula rotaeana	Meso	Motile	Unicellular life form	Weak attachment	N	2.388	5.724	2.59
Navicula salinarum	Meso	Motile	Unicellular life form	Weak attachment	N	2.509	5.345	2.671
Navicula salinicola	Meso	Motile	Unicellular life form	Weak attachment	N	4	5.345	2.604
Navicula schadei	Meso	Motile	Unicellular life form	Weak attachment	N	1.9	5.434	2.4
Navicula schonfeldii	Meso	Motile	Unicellular life form	Weak attachment	N	2.303	5.443	2.576
Navicula schroeteri	Meso	Motile	Unicellular life form	Weak attachment	N	2.392	5.485	2.504
Navicula schroeteri var. symmetrica	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.465	2.461
Navicula seibigiana	Meso	Motile	Unicellular life form	Unattached	N	3	5.374	2.601
Navicula simplex	Meso	Motile	Unicellular life form	Weak attachment	N	4	5.104	2.383
Navicula simulata	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.263	2.361
Navicula slesvicensis	Large	Motile	Unicellular life form	Unattached	N	3	5	2
Navicula spp.	Meso	Motile	Unicellular life form	Weak attachment	N	2.519	5.457	2.541
Navicula stankovicii	Meso	Motile	Unicellular life form	Weak attachment	N	2.423	5.344	2.548
Navicula streckerae	Large	Motile	Unicellular life form	Unattached	N	2.31	5.736	2.577
Navicula subalpina	Meso	Motile	Unicellular life form	Weak attachment	N	1.5	5.628	2.618
Navicula subminuscula	Meso	Motile	Unicellular life form	Weak attachment	N	4	5.374	2.591
Navicula submuralis	Meso	Motile	Unicellular life form	Weak attachment	N	3.1	5.365	2.599
Navicula subrhynchocephala	Meso	Motile	Unicellular life form	Unattached	N	3	5.393	2.598
Navicula subrostrata	Meso	Motile	Unicellular life form	Weak attachment	N	2.363	5.481	2.578
Navicula subtilissima	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.378	2.586
Navicula supleeorum	Meso	Motile	Unicellular life form	Unattached	N	2.402	5.411	2.429
Navicula suprinii	Meso	Motile	Unicellular life form	Weak attachment	N	2	5.323	2.505
Navicula symmetrica	Meso	Motile	Unicellular life form	Weak attachment	N	3	5	1
Navicula tenelloides	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.658	2.535
Navicula tridentula	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.522	2.496
Navicula tripunctata	Meso	Motile	Unicellular life form	Weak attachment	N	1.6	5	2
Navicula trivialis	Meso	Motile	Unicellular life form	Weak attachment	N	2.525	5	3
Navicula tuscula	Meso	Motile	Unicellular life form	Weak attachment	N	1.5	5.174	2.311
Navicula tuulensis	Meso	Motile	Unicellular life form	Weak attachment	N	2.372	5.68	2.589
Navicula upsaliensis	Meso	Motile	Unicellular life form	Weak attachment	N	2	5.37	2.803
Navicula vandamii	Meso	Motile	Unicellular life form	Weak attachment	N	2.219	5.449	2.378
Navicula veneta	Meso	Motile	Unicellular life form	Unattached	N	5	5	4
Navicula verecunda	Meso	Motile	Unicellular life form	Weak attachment	N	2.327	5.206	2.365
Navicula vilaplanii	Nano	Motile	Unicellular life form	Unattached	N	3.1	5.371	2.577
Navicula viridula	Large	Motile	Unicellular life form	Unattached	N	3	5.308	2.506
Navicula viridula var. rostellata	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.502	2.654
Navicula viridulacalcis	Meso	Motile	Unicellular life form	Weak attachment	N	2.377	5.399	2.594
Navicula virihensis	Meso	Motile	Unicellular life form	Weak attachment	N	2.445	5.346	2.607
Navicula vitabunda	Meso	Motile	Unicellular life form	Weak attachment	N	1	5.44	2.543
Navicula wiesneri	Meso	Motile	Unicellular life form	Weak attachment	N	3	5.372	2.594
Navicula wildii	Large	Motile	Unicellular life form	Unattached	N	2.574	5.345	2.516
Naviculadicta cosmopolitana	Meso	Motile	Unicellular life form	Weak attachment	N	4	4	2
Neidiomorpha binodiformis	Meso	Motile	Unicellular life form	Unattached	N	2	3	1
Neidiomorpha binodis	Meso	Low profile	Unicellular life form	Weak attachment	N	2	3	2
Neidium aequum	Large	High profile	Colonial life form	Strong attachment	N	1.667	4	1
Neidium affine	Large	High profile	Colonial life form	Strong attachment	N	2	4	1
Neidium affine var. humeris	Large	High profile	Colonial life form	Strong attachment	N	1.709	4	1
Neidium ampliatum	Large	High profile	Colonial life form	Strong attachment	N	1	4	1
Neidium apiculatum	Large	High profile	Colonial life form	Strong attachment	N	1	4	1
Neidium cuneatiforme	Large	High profile	Colonial life form	Strong attachment	N	1.399	4	1
Neidium curtihamatum	Large	High profile	Colonial life form	Strong attachment	N	1.656	4	1
Neidium dubium	Large	High profile	Colonial life form	Strong attachment	N	2	4	1
Neidium hitchcockii	Large	Motile	Unicellular life form	Unattached	N	1.579	4	1
Neidium iridis	Large	Motile	Unicellular life form	Unattached	N	1	4	1
Neidium kozolowi	Large	High profile	Colonial life form	Strong attachment	N	1.213	4	1
Neidium spp.	Large	High profile	Colonial life form	Strong attachment	N	1.296	4	1
Neocalyptrella robusta	Large	High profile	Colonial life form	Strong attachment	N	2.537	5	3.074
Nitzschia acicularis	Micro	Motile	Unicellular life form	Unattached	N	4	4.336	2.151
Nitzschia acidoclinata	Micro	Motile	Unicellular life form	Unattached	N	1	3	1
Nitzschia actinastroides	Micro	Motile	Unicellular life form	Weak attachment	N	4	4.276	2.68
Nitzschia acula	Large	Motile	Unicellular life form	Weak attachment	N	2	4.69	2.668
Nitzschia agnita	Micro	Motile	Unicellular life form	Weak attachment	N	2.8	4.246	2.139
Nitzschia alpina	Meso	Motile	Unicellular life form	Unattached	N	1	4.829	2.318
Nitzschia amphibia	Meso	Motile	Unicellular life form	Weak attachment	N	3.178	5	3
Nitzschia amphibia f. frauenfeldii	Meso	Motile	Unicellular life form	Weak attachment	N	2.9	4.199	2.386
Nitzschia amplectens	Meso	Motile	Unicellular life form	Weak attachment	N	4	4.64	2.493
Nitzschia angustata	Large	Motile	Unicellular life form	Unattached	N	2.2	4.199	2.373
Nitzschia angustatula	Meso	Motile	Unicellular life form	Weak attachment	N	2	4.61	2.453
Nitzschia apiculata	Meso	Motile	Unicellular life form	Weak attachment	N	3.6	5	3
Nitzschia archibaldii	Meso	Motile	Unicellular life form	Weak attachment	N	2.2	4.955	2.568
Nitzschia bacilliformis	Meso	Motile	Unicellular life form	Weak attachment	N	1	4.412	2.325
Nitzschia bacillum	Meso	Motile	Unicellular life form	Weak attachment	N	2.2	4.864	2.565
Nitzschia bergii	Meso	Motile	Unicellular life form	Weak attachment	N	4	4.883	2.403
Nitzschia biundulata	Meso	Motile	Unicellular life form	Weak attachment	N	3.03	4.822	2.453
Nitzschia brevissima	Meso	Motile	Unicellular life form	Weak attachment	N	4	4.445	2.422
Nitzschia capitellata	Meso	Motile	Unicellular life form	Weak attachment	N	5	6	2.753
Nitzschia clausii	Meso	Motile	Unicellular life form	Unattached	N	3.2	4.42	2.495
Nitzschia coarctata	Meso	Motile	Unicellular life form	Weak attachment	N	4	4.017	2.199
Nitzschia communis	Meso	Motile	Unicellular life form	Weak attachment	N	5	5	3
Nitzschia communis var. abbreviata	Micro	Motile	Unicellular life form	Weak attachment	N	3.219	4.915	2.581
Nitzschia commutata	Micro	Motile	Unicellular life form	Weak attachment	N	4	4.862	2.441
Nitzschia costei	Micro	Motile	Unicellular life form	Weak attachment	N	2	4.137	2.392
Nitzschia dealpina	Micro	Motile	Unicellular life form	Weak attachment	N	3.098	5.023	2.409
Nitzschia delognei	Micro	Motile	Unicellular life form	Weak attachment	N	3	4.093	1.681
Nitzschia denticula	Micro	Motile	Unicellular life form	Weak attachment	N	2	3	1
Nitzschia dingrica	Micro	Motile	Unicellular life form	Weak attachment	N	3.013	3.993	2.307
Nitzschia dissipata	Micro	Motile	Unicellular life form	Weak attachment	N	2.854	4	2
Nitzschia dissipata var. media	Micro	Motile	Unicellular life form	Weak attachment	N	2	4.187	2.531
Nitzschia diversa	Micro	Motile	Unicellular life form	Weak attachment	N	4.2	4.143	1.955
Nitzschia draveillensis	Micro	Motile	Unicellular life form	Weak attachment	N	3	5	2.216
Nitzschia dubia	Micro	Motile	Unicellular life form	Weak attachment	N	4	4.91	2.542
Nitzschia eglei	Micro	Motile	Unicellular life form	Weak attachment	N	3.114	4.965	2.533
Nitzschia elegantula	Micro	Motile	Unicellular life form	Weak attachment	N	4	4.362	2.331
Nitzschia exilis	Micro	Motile	Unicellular life form	Weak attachment	N	2.781	4.023	2.452
Nitzschia filiformis	Micro	Motile	Unicellular life form	Unattached	N	3.148	5	3
Nitzschia filiformis var. scotica	Micro	Motile	Unicellular life form	Weak attachment	N	3.164	4.709	2.373
Nitzschia filiformis var. conferta	Micro	Motile	Unicellular life form	Weak attachment	N	2.8	4.148	2.111
Nitzschia flexa	Micro	Motile	Unicellular life form	Weak attachment	N	3	4.824	2.399
Nitzschia fonticola	Macro	Motile	Unicellular life form	Weak attachment	N	2.5	4	2
Nitzschia fonticola var. pelagica	Macro	Motile	Unicellular life form	Weak attachment	N	2	4.782	2.545
Nitzschia fonticoloides	Macro	Motile	Unicellular life form	Unattached	N	3.026	4.249	2.529
Nitzschia fossilis	Macro	Motile	Unicellular life form	Weak attachment	N	3	4.739	2.493
Nitzschia frustulum	Macro	Motile	Unicellular life form	Weak attachment	N	3.13	5	3
Nitzschia frustulum var. inconspicua	Macro	Motile	Unicellular life form	Weak attachment	N	4.5	4.759	2.507
Nitzschia frustulum var. perpusilla	Macro	Motile	Unicellular life form	Weak attachment	N	1	4.501	2.277
Nitzschia fruticosa	Macro	Motile	Unicellular life form	Weak attachment	N	4	4.402	2.137
Nitzschia fundi	Macro	Motile	Unicellular life form	Weak attachment	N	3.053	4.121	2.301
Nitzschia gottlandica	Macro	Motile	Unicellular life form	Weak attachment	N	3.154	4.034	2.298
Nitzschia gracilis	Macro	Motile	Unicellular life form	Weak attachment	N	3	3	2
Nitzschia hantzschiana	Macro	Motile	Unicellular life form	Weak attachment	N	1	4.276	2.22
Nitzschia heidenii	Macro	Motile	Unicellular life form	Weak attachment	N	3	4.267	2.381
Nitzschia heufleriana	Micro	Motile	Unicellular life form	Weak attachment	N	2	4.769	2.458
Nitzschia homburgiensis	Micro	Motile	Unicellular life form	Weak attachment	N	1	4.602	2.015
Nitzschia hungarica	Micro	Motile	Unicellular life form	Weak attachment	N	3.8	4.98	2.556
Nitzschia incognita	Micro	Motile	Unicellular life form	Unattached	N	3.5	4.798	2.403
Nitzschia inconspicua	Nano	Motile	Unicellular life form	Unattached	N	3.2	5	3
Nitzschia intermedia	Micro	Motile	Unicellular life form	Weak attachment	N	5	4.637	2.51
Nitzschia kuetzingiana	Micro	Motile	Unicellular life form	Weak attachment	N	4	4.313	2.409
Nitzschia lacuum	Micro	Motile	Unicellular life form	Weak attachment	N	1	4.384	2.367
Nitzschia liebethruthii	Micro	Motile	Unicellular life form	Unattached	N	3.079	4.866	2.413
Nitzschia linearis	Macro	Motile	Unicellular life form	Weak attachment	N	3.738	4	2
Nitzschia longissima	Micro	Motile	Unicellular life form	Weak attachment	N	4.2	4.732	2.459
Nitzschia lorenziana	Micro	Motile	Unicellular life form	Weak attachment	N	3.5	4.338	2.361
Nitzschia lorenziana var. subtilis	Micro	Motile	Unicellular life form	Weak attachment	N	3.5	4.518	2.308
Nitzschia microcephala	Nano	Motile	Unicellular life form	Weak attachment	N	5	5	3
Nitzschia minuta	Micro	Motile	Unicellular life form	Weak attachment	N	5	4.721	2.376
Nitzschia monachorum	Micro	Motile	Unicellular life form	Weak attachment	N	2	5	2.537
Nitzschia obtusa	Micro	Motile	Unicellular life form	Weak attachment	N	3.517	4.541	2.389
Nitzschia obtusa var. kurzii	Micro	Motile	Unicellular life form	Weak attachment	N	3.5	4.427	2.454
Nitzschia obtusa var. scalpelliformis	Micro	Motile	Unicellular life form	Weak attachment	N	3	4.846	2.54
Nitzschia oligotraphenta	Micro	Motile	Unicellular life form	Unattached	N	3.05	4.195	2.387
Nitzschia palea	Micro	Motile	Unicellular life form	Weak attachment	N	3.064	6	4
Nitzschia palea var. debilis	Micro	Motile	Unicellular life form	Weak attachment	N	3	5.292	2.681
Nitzschia palea var. tenuirostris	Micro	Motile	Unicellular life form	Weak attachment	N	5	5.105	2.555
Nitzschia paleacea	Micro	Motile	Unicellular life form	Unattached	N	3.5	5	3
Nitzschia perminuta	Micro	Motile	Unicellular life form	Weak attachment	N	1.5	2	1
Nitzschia prolongata	Micro	Motile	Unicellular life form	Weak attachment	N	3.186	4.936	2.606
Nitzschia pusilla	Micro	Motile	Unicellular life form	Weak attachment	N	3.245	7	2
Nitzschia radicula	Large	Motile	Unicellular life form	Weak attachment	N	4	4.637	2.259
Nitzschia recta	Micro	Motile	Unicellular life form	Weak attachment	N	3	7	2
Nitzschia regula var. robusta	Macro	Motile	Unicellular life form	Unattached	N	3.191	4.372	2.305
Nitzschia reversa	Micro	Motile	Unicellular life form	Unattached	N	4.2	4.355	2.378
Nitzschia romana	Micro	Motile	Unicellular life form	Weak attachment	N	2.5	4.42	2.469
Nitzschia sigma	Micro	Motile	Unicellular life form	Unattached	N	4	5	3
Nitzschia sigmoidea	Large	Motile	Unicellular life form	Unattached	N	3	5	3
Nitzschia siliqua	Nano	Low profile	Unicellular life form	Unattached	N	4	4.932	2.559
Nitzschia sinuata var. tabellaria	Micro	Motile	Unicellular life form	Weak attachment	N	1	4.922	2.544
Nitzschia sociabilis	Micro	Motile	Unicellular life form	Weak attachment	N	3	5.054	2.561
Nitzschia solita	Micro	Motile	Unicellular life form	Weak attachment	N	4	3.916	2.191
Nitzschia soratensis	Nano	Motile	Unicellular life form	Unattached	N	5	4.78	2.396
Nitzschia spp.	Micro	Motile	Unicellular life form	Weak attachment	N	3.159	4.074	2.346
Nitzschia subacicularis	Micro	Motile	Unicellular life form	Weak attachment	N	3	4.431	2.354
Nitzschia subcapitellata	Micro	Motile	Unicellular life form	Weak attachment	N	5	4.939	2.621
Nitzschia subcohaerens var. scotica	Micro	Motile	Unicellular life form	Weak attachment	N	4	4.282	2.29
Nitzschia sublinearis	Micro	Motile	Unicellular life form	Weak attachment	N	1	4.374	2.449
Nitzschia subtilis	Micro	Motile	Unicellular life form	Weak attachment	N	3	4.407	2.342
Nitzschia superalitorea	Micro	Motile	Unicellular life form	Weak attachment	N	2.913	4.58	2.307
Nitzschia terrestris	Micro	Motile	Unicellular life form	Weak attachment	N	3	4.375	2.412
Nitzschia tubicola	Micro	Motile	Unicellular life form	Weak attachment	N	3.2	6	4
Nitzschia umbonata	Micro	Motile	Unicellular life form	Weak attachment	N	5	4.529	2.352
Nitzschia valdestriata	Micro	Motile	Unicellular life form	Weak attachment	N	4	4.818	1
Nitzschia vitrea	Micro	Motile	Unicellular life form	Weak attachment	N	2	5	2.537
Nupela wellneri	Large	Motile	Unicellular life form	Weak attachment	N	2	3	1
Odontidium mesodon	Large	Motile	Unicellular life form	Weak attachment	N	1.46	4	1
Pantocsekiella ocellata	Meso	Low profile	Unicellular life form	Weak attachment	N	2.355	4	1
Parlibellus protractus	Large	High profile	Unicellular life form	Weak attachment	N	2.204	5	2.974
Pinnularia acrosphaeria	Macro	Motile	Unicellular life form	Unattached	N	1.92	4.977	2.168
Pinnularia amabilis	Macro	Motile	Unicellular life form	Medium attachment	N	1.596	5.175	2.909
Pinnularia borealis	Macro	Motile	Unicellular life form	Unattached	N	1.77	5.114	2.788
Pinnularia borealis var. islandica	Macro	Motile	Unicellular life form	Medium attachment	N	1	4.777	2.393
Pinnularia borealis var. rectangularis	Macro	Motile	Unicellular life form	Medium attachment	N	1.594	4.856	2.961
Pinnularia brebissonii	Macro	Motile	Unicellular life form	Unattached	N	1.789	4.988	2.587
Pinnularia cruxarea	Macro	Motile	Unicellular life form	Medium attachment	N	1.849	4.932	1.501
Pinnularia divergens	Macro	Motile	Unicellular life form	Medium attachment	N	1	4.127	2.839
Pinnularia divergens var. sublinearis	Macro	Motile	Unicellular life form	Medium attachment	N	1	4.776	2.728
Pinnularia gibba	Macro	Motile	Unicellular life form	Medium attachment	N	1	7	3
Pinnularia grunowii	Macro	Motile	Unicellular life form	Medium attachment	N	1.456	5.404	2.875
Pinnularia irrorata	Macro	Motile	Unicellular life form	Medium attachment	N	1	4.851	1.739
Pinnularia krammeri	Macro	Motile	Unicellular life form	Medium attachment	N	1.74	4.862	2.779
Pinnularia legumen	Macro	Motile	Unicellular life form	Medium attachment	N	2	4.933	1.934
Pinnularia lundii	Macro	Motile	Unicellular life form	Medium attachment	N	1.854	4.997	2.261
Pinnularia marchica	Macro	Motile	Unicellular life form	Unattached	N	1.881	4.828	2.098
Pinnularia mesolepta	Macro	Motile	Unicellular life form	Medium attachment	N	1.917	4	3
Pinnularia microstauron	Macro	Motile	Unicellular life form	Unattached	N	1.86	4.965	2.686
Pinnularia microstaurom f. diminuta	Large	Motile	Unicellular life form	Medium attachment	N	1.834	4.771	2.694
Pinnularia molaris	Large	Motile	Unicellular life form	Medium attachment	N	2	5.076	2.521
Pinnularia obscura	Large	Motile	Unicellular life form	Medium attachment	N	3	5.002	1
Pinnularia parvulissima	Large	Motile	Unicellular life form	Unattached	N	3	4.779	2.749
Pinnularia perspicua	Large	Motile	Unicellular life form	Medium attachment	N	1.682	4.881	1.974
Pinnularia saprophila	Large	Motile	Unicellular life form	Unattached	N	3	4.854	2.755
Pinnularia schoenfelderi	Large	Motile	Unicellular life form	Medium attachment	N	1.5	4.977	2.027
Pinnularia sinistra	Large	Motile	Unicellular life form	Medium attachment	N	3	5.005	1.148
Pinnularia spp.	Large	Motile	Unicellular life form	Medium attachment	N	1.791	5.121	2.795
Pinnularia subanglica	Large	Motile	Unicellular life form	Weak attachment	N	1.922	4.838	1.504
Pinnularia subcapitata	Large	Motile	Unicellular life form	Medium attachment	N	1.399	1	3
Pinnularia subcapitata var. paucistriata	Large	Motile	Unicellular life form	Medium attachment	N	1	4.779	2.749
Pinnularia subcapitata var. subcapitata	Large	Motile	Unicellular life form	Medium attachment	N	1	4.982	2.094
Pinnularia viridis	Large	Motile	Unicellular life form	Medium attachment	N	1.887	7	3
Placoneis anglica	Large	High profile	Unicellular life form	Weak attachment	N	2.5	5	2
Placoneis anglophila	Nano	Motile	Unicellular life form	Unattached	N	3	5	2
Placoneis clementioides	Large	High profile	Unicellular life form	Weak attachment	N	1.8	5	2
Placoneis clementis	Large	High profile	Unicellular life form	Weak attachment	N	2	5	2
Placoneis dicephala	Large	High profile	Unicellular life form	Weak attachment	N	2	5	2
Placoneis elginensis	Large	High profile	Unicellular life form	Weak attachment	N	2	5	2
Placoneis ellipticorostrata	Macro	High profile	Unicellular life form	Weak attachment	N	2.019	5	2
Placoneis gastrum	Macro	Motile	Unicellular life form	Unattached	N	1	5	2
Placoneis nipponica	Large	High profile	Unicellular life form	Weak attachment	N	2.129	5	2
Placoneis placentula	Large	High profile	Unicellular life form	Weak attachment	N	2	5	2
Placoneis pseudanglica	Large	High profile	Unicellular life form	Weak attachment	N	3	5	2
Placoneis spp.	Large	High profile	Unicellular life form	Weak attachment	N	2.127	5	2
Placoneis undulata	Large	High profile	Unicellular life form	Weak attachment	N	2	5	2
Plagiolemma spp.	Micro	Low profile	Unicellular life form	Weak attachment	N	1.733	3.04	1.505
Planothidium apiculatum	Micro	Low profile	Colonial life form	Strong attachment	N	2	5.545	3
Planothidium biporomum	Micro	Motile	Unicellular life form	Weak attachment	N	1.4	5.39	3
Planothidium cryptolanceolatum	Meso	Low profile	Colonial life form	Strong attachment	N	1.925	5.486	3
